2019-05-22 00:20:11.306 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$ffebbf26] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-05-22 00:20:22.900 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-05-22 00:20:22.900 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.12
2019-05-22 00:20:22.908 [main] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/gc/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2019-05-22 00:20:23.101 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-05-22 00:20:23.101 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1605 ms
2019-05-22 00:20:23.132 [main] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2019-05-22 00:20:23.140 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2019-05-22 00:20:23.141 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019-05-22 00:20:23.141 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'formContentFilter' to: [/*]
2019-05-22 00:20:23.141 [main] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2019-05-22 00:20:23.942 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-05-22 00:20:23.942 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-05-22 00:20:23.948 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-05-22 00:20:23.948 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-05-22 00:20:24.227 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-05-22 00:20:24.759 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-05-22 00:20:24.761 [main] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2019-05-22 00:20:24.981 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-05-22 00:20:25.049 [main] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
2019-05-22 00:20:25.065 [main] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2019-05-22 00:20:25.065 [main] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.3.0 created.
2019-05-22 00:20:25.066 [main] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
2019-05-22 00:20:25.067 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.0) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2019-05-22 00:20:25.067 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
2019-05-22 00:20:25.067 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.0
2019-05-22 00:20:25.067 [main] INFO  org.quartz.core.QuartzScheduler - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@7d484fcd
2019-05-22 00:20:25.344 [main] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-05-22 00:20:25.379 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2019-05-22 00:20:25.603 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2019-05-22 00:20:25.603 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2019-05-22 00:20:25.717 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2019-05-22 00:20:25.717 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2019-05-22 00:20:25.906 [main] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-05-22 00:20:25.924 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2019-05-22 00:20:25.924 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2019-05-22 00:20:25.924 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2019-05-22 00:20:25.924 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2019-05-22 00:20:25.924 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2019-05-22 00:20:25.924 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2019-05-22 00:20:25.924 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2019-05-22 00:20:26.186 [main] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2019-05-22 00:20:26.191 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2019-05-22 00:20:26.194 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-05-22 00:20:26.198 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1558455626196 with initial instances count: 5
2019-05-22 00:20:26.202 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application HOTLINK-WEBAR with eureka with status UP
2019-05-22 00:20:26.204 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1558455626204, current=UP, previous=STARTING]
2019-05-22 00:20:26.206 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_HOTLINK-WEBAR/10.128.203.149:hotlink-webar:10091: registering service...
2019-05-22 00:20:26.208 [main] INFO  o.s.scheduling.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now
2019-05-22 00:20:26.210 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED started.
2019-05-22 00:20:26.223 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10091"]
2019-05-22 00:20:26.250 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2019-05-22 00:20:26.261 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_HOTLINK-WEBAR/10.128.203.149:hotlink-webar:10091 - registration status: 204
2019-05-22 00:20:26.263 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 10091 (http) with context path ''
2019-05-22 00:20:26.264 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 10091
2019-05-22 00:20:26.266 [main] INFO  com.hotlink.webapp.WebappApplication - Started WebappApplication in 25.678 seconds (JVM running for 31.678)
2019-05-22 00:21:40.684 [Thread-59] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application HOTLINK-WEBAR with eureka with status DOWN
2019-05-22 00:21:40.684 [Thread-59] WARN  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1558455700684, current=DOWN, previous=UP]
2019-05-22 00:21:40.684 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_HOTLINK-WEBAR/10.128.203.149:hotlink-webar:10091: registering service...
2019-05-22 00:21:40.686 [Thread-59] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2019-05-22 00:21:40.689 [Thread-59] INFO  o.s.scheduling.quartz.SchedulerFactoryBean - Shutting down Quartz Scheduler
2019-05-22 00:21:40.689 [Thread-59] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED shutting down.
2019-05-22 00:21:40.690 [Thread-59] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2019-05-22 00:21:40.690 [Thread-59] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete.
2019-05-22 00:21:40.691 [Thread-59] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-05-22 00:21:40.698 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_HOTLINK-WEBAR/10.128.203.149:hotlink-webar:10091 - registration status: 204
2019-05-22 00:21:40.718 [Thread-59] INFO  com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
